CaseRef,CaseId,CaseSystemId,NamedIndividual,AccusedRef,CaseStart_date,CaseStart_date_as_date,Case_date,Case_date_as_date,Age_at_case,CaseCommonName,Commission,Complaint,Correspondence,Chronicle,Other,Suspects_text,UNorthodoxRelPract_p,UNorthodoxRelPract_s,Consulting_p,Consulting_s,Demonic_p,Demonic_s,Demonic_possess_p,Demonic_possess_s,Fairies_p,Fairies_s,Folk_healing_p,Folk_healing_s,Maleficium_p,Maleficium_s,Midwifery_p,Midwifery_s,ImplicatedByAnother_p,ImplicatedByAnother_s,Neighbhd_dispute_p,Neighbhd_dispute_s,PoliticalMotive_p,PoliticalMotive_s,PropertyMotive_p,PropertyMotive_s,RefusedCharity_p,RefusedCharity_s,Treason_p,Treason_s,Other_p,Other_s,OtherText,NotEnoughInfo_p,NotEnoughInfo_s,WhiteMagic_p,WhiteMagic_s,Charnotes,DemonicPact,DevilNotes,WitchesMeeting,MeetingName,DevilPresent,Maleficium,CommunalSex,DevilWorship,FoodAndDrink,Dancing,Singing,SingingText,OtherPractices,MeetingNotes,Elphane/Fairyland,Food/Drink,SpecificVerbalFormulae,SpecificRitualActs,Familiars,Shape-Changing,Dreams/Visions,UnorthodoxReligiousPractice,SympatheticMagic,Ridingdead,FolkNotes,HumanIllness,HumanDeath,AnimalIllness,AnimalDeath,FemaleInfertility,MaleImpotence,AggravatingDisease,TransferringDisease,LayingOn,Removalbewitchment,Quarreling,Cursing,Poisoning,RecHealer,HealingHumans,HealingAnimals,Midwifery,DiseaseNotes,PropertyDamage,WeatherModification,OtherMaleficiaNotes,OtherChargesNotes,ClaimedBewitched,ClaimedPossessed,AdmitLesserCharge,ClaimedNaturalCauses,Nodefence,DefenseNotes,CaseNotes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"C/EGD/1012",1012,"EGD",-1,"A/EGD/1001","6/5/1628","05/06/28 00:00:00","6/5/1628","05/06/28 00:00:00",,"Ireland,Janet",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:49:00"
"C/EGD/1013",1013,"EGD",-1,"A/EGD/1002","3/7/1628","07/03/28 00:00:00","3/7/1628","07/03/28 00:00:00",,"Hendersoun,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:50:07"
"C/EGD/1014",1014,"EGD",-1,"A/EGD/1003","3/7/1628","07/03/28 00:00:00","3/7/1628","07/03/28 00:00:00",,"Young,Margaret",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:51:51"
"C/EGD/1015",1015,"EGD",-1,"A/EGD/1004","3/7/1628","07/03/28 00:00:00","3/7/1628","07/03/28 00:00:00",,"Ridpeth,Margaret",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:53:14"
"C/EGD/1016",1016,"EGD",-1,"A/EGD/1005","3/7/1628","07/03/28 00:00:00","3/7/1628","07/03/28 00:00:00",50,"Reid,Janet",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","LEM","10/10/02 14:32:10"
"C/EGD/1017",1017,"EGD",-1,"A/EGD/1006","3/7/1628","07/03/28 00:00:00","3/7/1628","07/03/28 00:00:00",,"Rankein,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:56:12"
"C/EGD/1018",1018,"EGD",-1,"A/EGD/1007","10/7/1628","07/10/28 00:00:00","10/7/1628","07/10/28 00:00:00",,"Mitchell,Marion",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","LEM","10/10/02 16:20:50"
"C/EGD/1019",1019,"EGD",-1,"A/EGD/1008","15/7/1628","07/15/28 00:00:00","15/7/1628","07/15/28 00:00:00",,"Liddell,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:01:59"
"C/EGD/102",102,"EGD",-1,"A/EGD/91","27/1/1591","01/27/91 00:00:00","8/5/1591","05/08/91 00:00:00",,"McGillis,Catherine",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,"Part of the North Berwick witch hunt.  It involved many people and many accustions about witches meetings, specifically two separate attempts to sink the royal ships.  The first to sink Queen Anne on her way home, second to trouble King James after he went to get her in Denmark.",0,"Others confessed that she met the devil as a 'mekle black man'.",0,,0,0,0,0,0,0,0,,,"See Agnes Sampson's case for description of North Berwick meeting (c/egd/63).  See also Napier (c/egd/103) for more details about the North Berwick meeting. Claimed that she attended meeting at the kirk in North Berwick and that a trump was played.",0,0,0,0,0,0,0,0,0,0,"Claimed by others that she was involved in using a corpse and powder from a corpse and attended meetings at Halloween.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/10/02 15:03:01"
"C/EGD/1020",1020,"EGD",-1,"A/EGD/1009","15/7/1628","07/15/28 00:00:00","15/7/1628","07/15/28 00:00:00",,"Oliver,Margaret",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:11:22"
"C/EGD/1021",1021,"EGD",-1,"A/EGD/1010","15/7/1628","07/15/28 00:00:00","15/7/1628","07/15/28 00:00:00",,"Mathie,Barbara",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:13:16"
"C/EGD/1022",1022,"EGD",-1,"A/EGD/1011","15/7/1628","07/15/28 00:00:00","15/7/1628","07/15/28 00:00:00",,"Riddell,Bessie",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:14:21"
"C/EGD/1023",1023,"EGD",-1,"A/EGD/1012","15/7/1628","07/15/28 00:00:00","15/7/1628","07/15/28 00:00:00",,"Dempstar,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:15:28"
"C/EGD/1025",1025,"EGD",-1,"A/EGD/1014","26/4/1626","04/26/26 00:00:00","22/10/1628","10/22/28 00:00:00",42,"Wright,Bessie",,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,"The main accusations appear to relate to healing rituals and advice that did not work and the patients died rather than death as a result of maleficium. No demonic features.",0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,"This case has some interesting details about the herbs and other ingredients that she used in salves. These included rippell grasse (ripple grass or robwort plantain), waffron leaf(?), plantain feather(?), finglie (?finkle or fennel), and hyssop(?). She denied she had used foxtree leaves (foxglove). She also claimed that she had her skill from the possession of a book, that had belonged to her father and grandfather. She said it was a 1000 years old but as she could not read it her son, Adam Bell, would read out bits to her. The book was taken from her during the ministry of William Couper who was minister between 1595 and 1612.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Main accusations were about healing rituals which did not work but one witness (male) seems to have had a number of grudges (ale spoilt, pains in his limbs, social insult). Said she could cure the bairn bed (?childbirth), gravel, the liver and migraine.",1,0,,,0,0,0,0,0,,"In 1626 she promised the presbytery she would refrain from using her cures, especially in the burgh of Perth. The 1628 accusations were in part a result of her infringement of this promise.","SMD","05/15/01 17:00:16","jhm","11/13/02 15:48:14"
"C/EGD/1026",1026,"EGD",-1,"A/EGD/1015","8/8/1628","08/08/28 00:00:00","8/8/1628","08/08/28 00:00:00",,"Strauchane,Janet",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:20:49"
"C/EGD/1027",1027,"EGD",-1,"A/EGD/1016","4/12/1628","12/04/28 00:00:00","4/12/1628","12/04/28 00:00:00",,"Davidson,William",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:22:12"
"C/EGD/1028",1028,"EGD",-1,"A/EGD/1017","8/8/1628","08/08/28 00:00:00","8/8/1628","08/08/28 00:00:00",,"Cuthbertson,Beatrix",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:23:33"
"C/EGD/1029",1029,"EGD",-1,"A/EGD/1018","28/7/1628","07/28/28 00:00:00","28/7/1628","07/28/28 00:00:00",43,"Wright,Janet",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 11:28:34"
"C/EGD/103",103,"EGD",-1,"A/EGD/92","27/1/1591","01/27/91 00:00:00","10/5/1591","05/10/91 00:00:00",,"Napier,Barbara",,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,1,0,1,"Part of the North Berwick witch hunt.  It involved many people and many accustions about witches meetings, specifically two separate attempts to sink the royal ships.  The first to sink Queen Anne on her way home, second to trouble King James after he went to get her in Denmark.",0,"Baptised a cat.",1,,1,1,0,1,0,1,1,,,"Prior to the North Berwick description there is a detailed account of who was supposed to do what in preparation for the meeting.  They supposedly made potions with weird things, got bed linen from the King, sent people off to do things.  A very organised plan.  See Agnes Sampson (c/egd/63) for basic description of the North Berwick meeting.  Napier's additions include - meeting at Halloween, there was a goat bird there.  Napier and McCalyean were in charge of making wax images of the king but they were no't ready yet.  They weren't supposed to use their real names at the meeting.",0,0,0,1,0,0,0,0,1,0,"Not the typical love magic, this was done to get Dame Jeane Lyoune Lady Angus to love her, by which I think they mean to show her favour?  She paid Agnes Sampson a ring and a head scarf.  She was also accused of consulting Rychard Grahame as to whether or not the king would come home from Denmark.  She was acquitted of making wax images and of being at the North Berwick meeting.  Extended description of potions made out of strange materials.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"She supposedly hired Agnes Sampson for a friend who was vommiting after child birth.",0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","LEM","11/11/02 11:37:05"
"C/EGD/1030",1030,"EGD",-1,"A/EGD/1019","27/9/1628","09/27/28 00:00:00","20/11/1628","11/20/28 00:00:00",,"Barrowman,Margaret",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,"Likely to be demonic but not enough information.",0,"No details of pact.",0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,"Listed with 7 others accused of witchcraft.","SMD","05/15/01 17:00:16","jhm","10/01/02 12:46:26"
"C/EGD/1031",1031,"EGD",-1,"A/EGD/1020","27/9/1628","09/27/28 00:00:00","20/11/1628","11/20/28 00:00:00",,"Duncan,Elspitt",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,"Demonic pact and charming confessed so included but few details.",0,"No pact details",0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,"listed with 7 others.","SMD","05/15/01 17:00:16","LEM","12/05/02 12:56:59"
"C/EGD/1032",1032,"EGD",-1,"A/EGD/1021","27/9/1628","09/27/28 00:00:00","20/11/1628","11/20/28 00:00:00",,"Scheirar,Marioun",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,"Pact and charming confessed but few details.",0,"no details about pact recorded.",0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,"Listed with 7 others.","SMD","05/15/01 17:00:16","jhm","10/01/02 12:46:09"
