RIFER.,SEDE LAVORO,POSTI,IMPIEGO RICHIESTO,TIPO CONTRATTO,LINGUA RICHIESTA,RET. LORDA,DESCRIZIONE OFFERTA
10000-1169373760-S,Svizzera,1,Mitarbeiter (m/w/d) im Verkaufsinnendienst,Non specificato,Tedesco fluente; francese e/o italiano buono,Da definire,"Was Sie erwartet: telefonische und persönliche Beratung unserer Industriekunden in der Schweiz; Angebotserstellung - Auftragsabwicklung sowie Abwicklung und Koordination von Reklamationen; Unterstützung des regionalen Außendienstes; Enge Zusammenarbeit sowie prozessübergreifende Abstimmung mit allen Abteilungen unserer Firmenzentrale in Bad Mergentheim (D); Fundierte Ausbildung in den ersten Monaten in unserer Firmenzentrale in Bad Mergentheim (D). Was Sie mitbringen: Abgeschlossene kaufmännische oder technische Ausbildung, Berufserfahrung im Verkaufsinnendienst von Vorteil; Technisches Interesse und Verständnis sowie Vorkenntnisse in der Befestigungstechnik von Vorteil; Gute EDV-Kenntnisse– (Microsoft Office, SAP R/3); Selbständige und strukturierte Arbeitsweise sowie hohe Kunden- und Serviceorientierung. bewerben Sie sich bitte direkt über unser Online-Bewerbersystem unter www.wuerth-industrie.com/karriere  Würth Industrie Service GmbH & Co. KG Personal/ Nicole Fischbach • Industriepark Würth, Drillberg • 97980 Bad Mergentheim • T +49 7931 91-1933 • personal@wuerth-industrie.com • www.wuerth-industrie.com"
10000-1168768920-S,Germania,1,Vertriebs assistent,Non specificato,Tedesco ed inglese fluente + italiano e/o spagnolo buono,Da definire,"Ihre Tätigkeit: enge Zusammenarbeit mit unseren internationalen Partner; Betreuung unseres vorhanden Kundenstammes; Neukundenakquise; Auftragsabwicklung; Vertriebstätigkeiten; Unterstützung des Außendienstes; Anforderungsprofil: kaufmännische und/oder Fremdsprachenausbildung; - gute EDV-Kenntnisse (vor allem MS-Office); hohe Kommunikationsbereitschaft. Wir freuen uns auf Ihre schriftliche Bewerbung, gerne auch per E-Mail: http://www.capa-international.com/  Geforderte Anlagen: Anschreiben, Lebenslauf, Zeugnisse Stellenangebot-Details in der Jobbörse der BA aufrufen: 10000-1168768920-S"
082BMLG,Francia,1,Second / Seconde de cuisine,Tempo determinato da aprile ad ottobre 2019,Francese discreto,Da definire,"Missions : Vous serez en charge de la mise en place et du dressage des assiettes (formation interne à tous les postes de la cuisine), de la réception des commandes (vérification et rotation des stocks). Rangement, nettoyage et vérification de la cuisine. Vous avez suffisamment d'expérience pour pouvoir superviser le travail d'un ou deux commis pendant les repos du chef de cuisine. Travail en coupure, repos selon planning Veuillez adresser par mail votre CV et une lettre de motivation, en précisant le numéro de l'offre: terrazzura.recrutement@orange.fr"
23107550,Svezia,1,Waiter/Waitress,Non specificato,Inglese ed Italiano buono,Da definire,"Bar Robusta are looking for someone that speaks Italian who can work both as a waiter/waitress and a bartender. You don't need experience in both, but at least in one. The job is full-time, both day and night time (we close at 21:00). How to apply : https://www.arbetsformedlingen.se/For-arbetssokande/Hitta-jobb/Platsbanken/annonser/23107550"
11949-11273083-S,Austria,1,Empfangskraft,Non specificato,Tedesco ed Inglese Fluente + vedi testo,Da definire,"Erfolgreich abgeschlossene Ausbildung in der Hotellerie oder Berufsreifeprüfung; Berufserfahrung im Bereich des Front Office; Sehr gute Englischkenntnisse in Wort und Schrift Weitere Fremdsprache von Vorteil; Kenntnisse mit einem Hotelverwaltungs programm (bevorzugt Micros Fidelio); Sicherer Umgang mit MS-Office; Sicheres, kompetentes, gepflegtes und herzliches Auftreten sowie flexible Denkweise im Umgang mit den Gästen; Teamgeist, Engagement, Motivation und Eigeninitiative ; Fähigkeit zum selbständigen Arbeiten im Rezeptions- sowie Hotelbar-Bereich ist ein absolutes Muss. Ihre Aufgaben: Allgemeine Rezeptionsaufgaben (Check-in, Check-out); Bearbeitung von individuellen Anfragen und Reservierungen; Rechnungslegung und Kassaabrechnung; Gästebetreuung ; Aktive Mitarbeit im Barbetrieb. Sie bitte an das Arbeitsmarktservice Klagenfurt, Service für Unternehmen, Rudolfsbahngürtel 40, 9020 Klagenfurt, zH Herrn Puganigg, oder bevorzugt per e-mail an: peter.puganigg@ams.at"
18331901000024,Norvegia,6,Salesclerk,Da maggio ad ottobre,Inglese fluente + Vedi testo,Da definire,"We will be working together with sales, preparing and cooking food, customer service, logistics, cash register and keeping the restaurant nice and clean. You are expected to speak fluent English and additional language. It’s always a plus if you know some Scandinavian language aswell. You have to be at least 18 to apply.; To be able to deal with stress; Have a passion for customer service & language : Fluent in English + additional language. German, French, Italian and Spanish are preferable; It-s a plus if you have earlier experience from working in Customer Service & Restaurant ; To have a team spirit mindset. A functioning team is the road to success! Big plus if you have a driving licence as well. How to apply : Pontus Kruth Telefon: 0047 918 53 833E-post: pontus@waynor.no"
ID-11252967,Austria,1,Verkaufssachbearbeiter für Italien (m/w),Non specificato,Tedesco e italiano fluenti,"2574,68 Euro/
mese","Unsere Anforderungen: Sie haben eine kaufmännische Ausbildung (HAK, HLW) erfolgreich abgeschlossen; Sie verfügen über sehr gute Deutsch- sowie Italienischkenntnisse; Sie sind mit allen Office-Anwendungen vertraut, SAP-Kenntnisse von Vorteil; Ihre Arbeitseinstellung zeichnet sich durch hohe Zuverlässigkeit, Eigeninitiative und Einsatzbereitschaft aus Arbeitsort : Höchst Bitte bewerben Sie sich unter: https://www.blum.com/at/de/karriere/ .Dienstgeber: Julius Blum GmbH. 6973 Höchst Ansprechpartner: Niklas Schranz 05578/705/2973 niklas.schranz@blum.com"
10000-1162270517-S,Germania,1,Koch/Köchin,Non specificato,Italiano e tedesco buono,Da definire,"Kenntnisse und Fertigkeiten: Erfolgreich abgeschlossene Ausbildung als Koch oder ausreichend praktische Erfahrung in einem italienischen Restaurantbetrieb. Leidenschaft für's Kochen und dabei hoher Anspruch an Qualität – Einsatzbereitschaft Belastbarkeit und Flexibilität - Mondo Italiano Restaurant - Pizzeria Vito de Iaco, Roßtränke 12, 94032 Passau, Deutschland, Bayern Germania Numeri di telefono +49 851 86250 E-mail info@mondoitaliano.de"
2100937,Irlanda,1,Garden Centre Assistant,Non specificato,Inglese fluente,Da definire,"Applicants should have good plant knowledge and experience in the horticultural sector. Retailing and customer care experience would be beneficial. The position includes weekend work. The candidate will have a background in horticulture knowledge of plants and shrubs, especially outdoor Retailing and ability to drive plant sales is also required. Previous experience of working in a retail environment would be of an advantage. Apply through https://jobsireland.ie/en-US/job-Details?id=2100937"
WBS697919,Paesi Bassi,5,Strawberries and Rhubarb processors,Da maggio a settembre,,Vedi testo,"In this job you will be busy picking strawberries and harvesting rhubarbThis job starts Health insurance is arranged by the Employer €21,14 - per week.Salary is according to the Dutch (CAO), payment per hour gross € 9,82 (22 years and older). Employer provides housing which is located within the company. Housing is fully furnished and have double rooms. Bathroom, toilet and the kitchen, must be shared with other Employees.Cost are € 45 - for a week, inclusive (electricity, gas, water) You can send your CV in Polish, English and /or Lithuanian language by e-mail at: mtstrouw@hotmail.com"
19361902000002,Norvegia,2,Cleaners/renholdere Fishing Camp 2019 season,Tempo determinato da aprile ad ottobre 2019,Inglese fluente,Da definire,"Torsvåg Havfiske, estbl. 2005, is a touristcompany located 2 hours from Tromsø, in the northern part of Norway. We are running a fishingcamp, and have 8 apartments and 3 separate houses as well as 18 Arvor boats for rental. Our season is from April-October. For the 2019-season we need 2 cleaners. Work tasks cleaners: The main job of the 2 cleaners will be to clean our apartments and houses, but also other things according to the daily work at the camp. It is necessary that you speak English well and also that you have drivinglicense for car. If this sounds interesting, please contact us by email: info@torsvaag.no"
2095000,Spagna,15,Customer service agent for solar energy,Non specificato,Inglese e tedesco fluenti,"€21,000 per annum + 3.500","One of our biggest clients offer a wide range of products and solutions that allow for high energy yields for residential and commercial pv systems and large-scale pv power plants. Knowledge required - knowledge of basic electrical theory or networking technology - customer focus and a service-oriented attitude - ability to communicate on the phone with customers while taking detailed notes - proficiency with microsoft office suite (word, powerpoint, excel) - attention to detail and a high level of accuracy -, excellent interpersonal and communication skills - excellent organizational skills - ability to analyze and solve problems. Applications: send an e-mail to karoline.karpf@sitel.com (ref. Eures)"
58699222,Norvegia,1,Receptionists tourist hotel,Da maggio a settembre o da giugno ad agosto,Inglese Fluente; francese e/o spagnolo buoni,Da definire,"The job also incl communication with the kitchen, lunch booking, a lot of tourist information and taking care of some bar orders You must be able to work fast, under stress, but still be service minded and a good teamworker! Working hours are 5 days a week, 7,5 hours a day + lunchbreak, shiftplan Send Application at: jordtel@online.no Contact person:** Torill Hylland"
10000-1169431325-S,Svizzera,1,Reiseverkehrskaufmann/-frau - Touristik,Non specificato,Tedesco Fluente + Vedi testo,Da definire,"Wir erwarten: Abgeschlossene Reisebüroausbildung oder mindestens 2 JahreBranchenerfahrung; Aufgestellte Person mit Freude am Verkauf Gute EDV-Kenntnisse, vorzugsweise mit Galileo- und HIT-Erfahrung; Sprachen: Deutsch, Französisch, Englisch und Italienisch von Vorteil. senden Sie bitte Ihre vollständigen Bewerbungsunterlagen mit Foto an jobs@opus-personal.ch Contact: Felix Sigrist"
082QNLW,Francia,1,Assistant administratif export avec Italie (H/F),Non specificato,Francese ed italiano fluenti,Da definire,"Vous serez en charge des missions suivantes pour une épicerie fine ( uniquement des produits traiteurs italiens) Contacts téléphoniques avec clients italiens et fournisseurs italiens Gestion administrative des commandes, mails, suivi des clients, factures, saisie des documents... Gestion des stocks et DLC, Commandes en ligne et site internetMaîtrise de la langue italienne (oral/écrit) Pour postuler, utiliser le lien suivant : https://candidat.pole-emploi.fr/offres/recherche/detail/082QNLW"
2101510,Irlanda,1,Receptionist,Non specificato,Inglese fluente; Tedesco discreto,Da definire,"Receptionist required for the 2019 Season. Knowledge of the ""Hotsoft"" Reservations system an advantage. Ability to speak basic German is an advantage. Rostered hours will vary and will include both morning and evening hours, weekday and weekend work. Apply through https://jobsireland.ie/en-US/job-Details?id=2101510"
171767,Spagna,300,Seasonal worker in a strawberry farm,Da febbraio a giugno,,Da definire,Peon agricola (recolector fresa) / culegator de capsunii / farm worker (strawberry picker) campaña fresa 2019 huelva (españa) / in campania de capsunii 2019 in spania / strawberry season 2019. https://empleate.gob.es/empleo/#/oferta/1735114401  Enviar CV al email de contacto rrhh@masiaciscar.es
14491903000005,"Norvegia
Møre e Romsdal e Sogn og Fjordane.",6,Guider,Tempo determinato da maggio a settembre,Tedesco e inglese fluente + Italiano buono,20000 NOK /mese,"We require that you: are at least 20 years old; have a professional appearance and are sociable ; are highly motivated and flexible; are able to travel by bus, boat, train or plane ; are a citizen of one of the EU/EEA countries or have a work permit in NorwayNorwegian is not a requirement. Last date of application: 11.04.19 Contact person/ telephone number Ingvild Skåden, +47 416 91 940 or Fabio Pasini, + 47 980 37 645 E-mail post@geiranger-nordfjord.no"
10000-1167210671-S,Germania,1,Sales Manager Südeuropa m/w,Tempo indeterminato,Inglese e tedesco fluente + Italiano e/o spagnolo buono,Da definire,"Ihr Profil :Idealerweise Erfahrung in der Textilbranche, mit Design, mit modischen Produkten im Bereich Fashion bzw. Retail; Erfahrung als Sales Manager mit Umsatz- und Gebietsverantwortung; Souveränes, positives Auftreten, Kommunikationsgeschick und hohe Eigenmotivation; Reisebereitschaft. Bitte senden Sie uns diese unter Angabe Ihrer Kündigungsfrist und Gehaltsvorstellung an: bewerbung@tfx.de Transfertex GmbH & Co. Thermodruck KG Claudia Brauneis / HR Lindigstraße 7, 63801 Kleinostheim 0 60 27/ 79 95 www.tfx.de"
507,"Italia
ed
estero",25,Animatori - coreografi - ballerini - istruttori fitness/sportivi – assistenti miniclub,Tempo determinato da aprile ad ottobre,Inglese Buono + Vedi testo,Vedi testo,"Padronanza di una o più lingue tra queste (italiano, tedesco, olandese, danese e francese) oltre alla conoscenza obbligatoria ad un livello medio/alto della lingua inglese; Predisposizione alla socializzazione, entusiasmo, capacità organizzative, flessibilità, motivazione, ottimismo e capacità di adattamento; Disponibilità di almeno un mese e mezzo continuativo tra 15.05 e 15.09 Cosa offriamo: Vitto e alloggio; Stipendio minimo di 900€ netti mensili / 1200-1300€ per i responsabili dell’equipe. Per candidarsi: invia CV con foto a info@wintour.nl e in CC a eures@agenzialavoro.tn.it, specificando il ruolo di interesse. I candidati preselezionati saranno invitati a partecipare ad un casting a Trento che si terrà il giorno 28 Marzo 2019."
846727,Belgio,1,Junior Buyer Italian /English (m/v),Non specificato,Inglese Ed italiano fluente,Da definire,"You have a Bachelor degree. 2-3 years of professional experience ideally in an operational environment (purchasing, customer services, credit etc) is a plus. You have excellent knowledge of english and italian( oral and written). You have affinity with IT and Business ERP systems. You are a strong communicator and you have an commercial attitude. You are well organized, stressresistant and result oriented . Apply: https://urly.it/31cv9"
10531631,"Svezia
Lund",1,Italian Speaking Sales Administration Officer,Tempo indeterminato,Inglese ed italiano fluente,Da definire,"You will focus on: Act as our main contact for customers & market companies for parts orders and inquiries. Respond to incoming orders and aid queries per phone and e-mail. Execute order administration tasks in SAP and other internal tools & systems. Follow-up on orders, service level agreements and other key measurements. Assure that transport to each customer is done in the right time, and at the lowest cost. Work in close cooperation with the European market companies & other internal departments. Continuously build and use your network of Tetra Pak colleagues & external partners for support. Please submit your CV and motivational letter in English before 19th of Mars through our career site jobs.tetrapak.com To know more about the position contact hiring manager Margret Ahlberg at +46 73 336 5168"
082ZFDB,Francia,1,Assistant Administratif et Commercial Bilingue Italien,Non specificato,Francese ed italiano fluente,Da definire,"Au sein de l'équipe administrative, vous travaillez en support du pôle de Production et du pôle Commercial. Vos missions non exhaustives: Accueil téléphonique et physique; Traitement de courriels entrants et sortants; Contacts téléphoniques clients : Gestion et création des dossiers; Vérification et envoi des devis,; Réservation des hôtels et moyens de transport pour les salaries. Veuillez adresser par mail votre CV et une lettre de motivation, en précisant le numéro de l'offre : info@deltarecrutement.com"
1807568,Regno Unito,1,"Account Manager - German, Italian, Spanish, Dutch",Non specificato,Inglese Fluente + Vedi testo,"£25,000 per annum","Account Manager The Candidate You will be an experienced customer service professional who has ideally dealt with a corporate client base and run multiple accounts / projects. You will have the following skills, experiences and attributes… · MUST be able to speak and write in English and one of the following… German, Italian, Spanish, Dutch. · MUST have previous customer service experience · Ideally you will have customer service experience from a B2B environment View our latest jobs today on our website http://www.proman-uk.com/ and follow us on LinkedIn. AppH"
2103264,Irlanda,1,Receptionist - Summer,Da maggio a settembre,Inglese fluente,Da definire,"Assist with any ad-hoc project as required by the Manager on Duty; Respond in a timely manner to requests for information from internal departments; Communicates Effectively – uses communication skills to influence colleagues and senior managers. SKILL, & ABILITY:Knowledge of Microsoft Excel and Word.; Excellent organisational skills. Excellent written and verbal communication skills .Ability to respond positively to a pressurized environment and adopt a positive approach to problem solving. Multi-task Ability to work as part of a team as well as work unsupervised. Apply through https://jobsireland.ie/en-US/job-Details?id=2103264"
ID-11146984,Austria Klagenfurt,1,Nachwuchsführungskraft im Agrarhandel / Trainee (m./w.),Non specificato,Tedesco; Italiano buono,"1.950
Euro/ mese","Ihre Qualifikationen: landwirtschaftliche Ausbildung mit Matura (Agrar HAK, landwirtschaftliche Mittelschule); + Erfahrung im (Agrar)-handel mit landwirtschaftlichen Betriebsmitteln von Vorteil; gute EDV-Kenntnisse (MS Office, optimalerweise auch Warenwirtschaftssysteme) Dienstleistungsorientierung und ausgezeichneter Umgang mit KundInnen und LieferantInnen; + Qualitäts- und Innovationsorientierung, engagierte und eigenverantwortliche Arbeitsweise; + Flexibilität, Einsatzbereitschaft, Selbstorganisation; + Reisebereitschaft erforderlic. Bewerben Sie sich online unter www.unser-lagerhaus.at . Tel.: +43 463 3865-617 - gerhilt.schusser@unser-lagerhaus.at"
-,"Berlino
Trento",1,Apprendista perito elettronico; Elettrotecnico,Inizialmente contratto di apprendistato con possibilità di conferma,Inglese Buono (B1-B2); Tedesco base,"Min 1000
Max
1170
€/mese",Ti stai diplomando e/o stai cercando un primo lavoro nel settore tecnico? L’ impresa internazionale SIEMENS offre a giovani diplomati/diplomandi nel settore elettrico-elettronico la possibilità di fare esperienza di studio e lavoro tramite un apprendistato della durata di 3 anni e 6 mesi. L’apprendistato avrà luogo per i primi 2 anni presso la Siemens di Berlino mentre il terzo anno presso la Siemens di Trento. Al termine viene offerta un’assunzione su Trento. Il programma inizia il 1/08/2019 con un corso intensivo di tedesco di un mese a Berlino. A settembre inizia l’apprendistato in azienda. CONDIZIONI OFFERTE : stipendio mensile; alloggio pagato dall’azienda; supporto all’arrivo a Berlino; contributo alle spese di viaggio . REQUISITI RICHIESTI: essere diplomati/diplomandi presso Istituto Tecnico Industriale; min. 18 max 22 anni; buona conoscenza dell’inglese (B1-B2); conoscenza base del tedesco; interesse e passione per il lavoro in ambito tecnico. Per candidarsi: inviare CV + lettera di presentazione entro il 15 aprile 2019 a: eures@agenzialavoro.tn.it specificando in oggetto SIEMENS
243096,Spagna,1,Customer Service with French and Italian,Non specificato,Italiano; Francese fluente; Spagnolo buono,Da definire,"As an IT Helpdesk, you will be responsible for: Providing product information and effective technical support through multiple channels (phone, e-mail, chat); Investigating and taking care of large and complex support matters, where necessary working closely together with peers across all departments to ensure an exceptional and seamless experience for our customers; Contributing to additional support programs/projects. You are asked to deliver the following: An effective technical support. Please click this link for more info https://empleate.gob.es"
9909319,Francia,1,Commercial Web Italie (H/F),Non specificato,Italiano; Francese fluente,Da definire,"Profil : Première expérience réussie dans la vente de solutions e-marketing; Vous disposez d'excellentes capacités commerciales et êtes reconnu pour vos qualités de négociateur; Forte sensibilité aux chiffres et au marketing. Connaissances Métier. Bonne maîtrise du web de manière générale. Veuillez adresser par mail votre CV et une lettre de motivation, en précisant le numéro de l'offre : job@webrivage.com"
WBS1253419,"Paesi
Bassi",1,Customer service employee Dow,Tempo determinato,Inglese; italiano fluente + vedi testo,Da definire,"Requirements: You have a bachelor degree or higher and at least 1 year of working experience in a similar position. You have a good command of the English language and are you fluent in, for example Polish, Italian, French, Russian and/or . For this vacancy, you must be able to obtain a Code of Good Conduct (certificate of good behaviour). Please read the full vacancy and apply online via this link: https://www.manpower.nl/vacature-details/1624/42024973/Customer-service-employee-Dow-Chemical-Terneuzen.html"
70cb25b1-5510-11e9-b89f-005056ac086d,Svizzera,1,Hauswart/In,Non specificato,Tedesco buono,Da definire,"Wir suchen in unserem Team einen Mitarbeiter mit einem Grünen Daumen.
Sie arbeiten gerne selbständig sind guter Gesundheit und besitzen einen Führerschein, dann bewerben Sie sich bei uns. Persona di contatto E. Haefliger - von Kaenel Numeri di telefono +41 43 540 54 18 Profili sul web info@vkhservice.ch"
10000-1170625924-S,Germania,1,Monteur (m/w/d) Photovoltaik (Elektroanlagenmonteur/in),Non specificato,Tedesco e/o inglese buono,Da definire,"Anforderungen an die Bewerber/innen: abgeschlossene Ausbildung zum Dachdecker, Elektriker, Zimmerer, Trockenbauer, Spengler,- gerne auch Berufsanfänger - Anlernung erfolgt; schwindelfrei körperlich belastbar, kräftig anpacken können; Führerschein Klasse B erforderlich, Firmenwagen wird gestellt. Wir sind auch an ausländischen Fachkräften interessiert. Deutschkenntnisse und/oder Englischkenntnisse sollten vorhanden sein, sodass eine gute Verständigung möglich ist (mind. B1-Level). Gerne unterstützen wir Sie bei der Wohnungssuche! Bitte richten Für Bewerber/innen aus dem Ausland: Der Internationale Personalservice Bayern hilft Ihnen bei der Arbeitssuche in Deutschland. EU-Bürger/Bürgerinnen können eventuell eine finanzielle Hilfe bekommen (z.B. Reisekosten, Sprachkurs). Wir informieren Sie gerne: +49 (0)911 529 4420 / ZAV-IPS-Bayern@arbeitsagentur.de"
2106868,Irlanda,1,Retail Store Assistant,Non specificato,Inglese Fluente,Da definire,Retail Store Assistant required for a SPAR shop in Portland Street with a minimum of 1-2 years experience in retail. Must be fluent English. To apply please send CV to Tracy at sparportlandst@gmail.com or apply through https://jobsireland.ie/en-US/job-Details?id=2106868
23233743,Svezia,1,E-commerce copywriter,Non specificato,Inglese Fluente + vedi testo,Da definire,"We support 15 languages incl Chinese, Russian and Arabic. We are a startup that has gained considerable interest from brands and web shops from all over the world.We need a copywriter /onboarding manager that is in charge of and creates the texts for the client during onboarding. We need you to be fluent in English. Any other language is a plus. You will also validate the delivery of the texts produced by our system, on behalf of the client..As a part of this role, we also want you to write white papers, guides, blog posts and FAQs to further help the clients work with our system.We believe you have a background from e-commerce as a product copywriter. Knows seo and analytics tools enough to validate the result of the texts.Howtoapply : https://www.arbetsformedlingen.se/For-arbetssokande/Hitta-jobb/Platsbanken/annonser/23233743"
ID-11478229,"Italia
Austria",1,Forstarbeiter/in,Aprile – maggio 2019,Tedesco italiano discreto,"€9,50
/ora","ANFORDERUNGSPROFIL: Pflichtschulabschluss und Praxis im Forstbereich unbedingt erforderlich; Motorsägenpraxis wird vorausgesetzt; Berufliche Kompetenzen:
Baumschlägerung; Bedienung von Motorsägen; Durchforstung ; Vollzeitbeschäftigung - genaue Arbeitszeit nach Absprache mit dem Dienstgeber; Entlohnung: nach Vereinbarung. Unterkunft vorhanden KONTAKT: Bitte bewerben Sie sich nach telefonischer Terminvereinbarung bei: Frau Wallner Dorit Tel.: 0664 4538337 Wallner Dorit Grabenig 1 9343 ZWEINITZ Bereitschaft zur Überzahlung."
